ID,用例名称,所属模块,标签,前置条件,备注,步骤描述,预期结果,编辑模式,用例等级,责任人,用例状态,test
,交互>成功内转界面刷新,/3.7.0/CTP资金内转/,,无,无,"1. A测试机进入资金内转界面等待
2. 使用B测试机进行内转，改变可转金额
3. 观察A测试机上可转余额
4. 在A测试机上成功转账一次，再次观察","3. 界面未做刷新
4. 界面刷新，可转余额更新为了最新值",STEP,P2,july,Prepare,未定义此列头内容
,交互>内转金额手动输入,/3.7.0/CTP资金内转/,,无,无,"1. 当前处于资金内转界面
2. 点击内转金额
3. 只有2位小数","1. 输入校验
2. 弹出正值支持小数点的价格输入键盘",STEP,P2,july,Prepare,未定义此列头内容
,交互>切换方向清空内转金额,/3.7.0/CTP资金内转/,,无,无,"1. 让用户手动输入，当输入金额大于可转余额，输入框失去焦点后，数字自动转换成可转余额。
2. 不考虑币种，只有人民币
3. 只有2位小数",1. 输入校验,STEP,P2,july,Prepare,未定义此列头内容
,交互>密码校验,/3.7.0/CTP资金内转/,,无,无,"1. 当前处于资金密码输入框中
2. 股票期权资金密码输入为空，点击确定按钮
3. 期货资金密码输入为空，点击确定按钮
4. 输入正确的股票资金密码与期货资金密码，点击确定按钮
5. 等待10秒以内","2. 弹框不关闭，toast提示：请输入资金密码
3. 弹框不关闭，toast提示：请输入资金密码
4. 弹出loading图标，禁止用户点击。
5. 弹框关闭，弹框提示：【已成功提交资金内转请求】【确定】",STEP,P1,july,Prepare,未定义此列头内容
,交互>通知回报,/3.7.0/CTP资金内转/,,无,无,"1. 事先已提交资金内转申请
2. 等待CTP柜台通过申请
3. 观察APP通知提示",3. 界面上方出现类似交易通知回报，回报格式为：XXX资金内转：方向，金额，状态信息,STEP,P1,july,Prepare,未定义此列头内容
,异常流>股票期权账户进入后登出,/3.7.0/CTP资金内转/,,无,无,"1. 当前进入了资金内转界面
2. 主动或被动登出原股票期权账户
3. 尝试切换内转方向","2. 界面无反应
3. 触发刷新，下方期货账户、可转余额从展示变为空。同时【确定】按钮也置灰，点击无效",STEP,P2,july,Prepare,未定义此列头内容
,异常流>期货账户获取不到,/3.7.0/CTP资金内转/,,无,无,"1. 弱网/断网条件下，进入资金内转界面
2. 观察期货账户
3. 观察下方【确定】按钮","1. 弹出弹框提示：【当前股票期权账户无对应期货账号】【确定】
2. 显示为空
3. 【确定】按钮置灰，点击无效",STEP,P2,july,Prepare,未定义此列头内容
,异常流>可转余额获取不到,/3.7.0/CTP资金内转/,,无,无,"1. 弱网/断网条件下，进入资金内转界面
2. 观察可转余额
3. 观察下方【确定】按钮","1. 会有弹框提示：
2. 显示为空，而非0
3. 【确定】按钮置灰，点击无效",STEP,P2,july,Prepare,未定义此列头内容
,异常流>内转金额输入过大,/3.7.0/CTP资金内转/,,无,无,"1. 让用户手动输入，当输入金额大于可转余额，输入框失去焦点后，数字自动转换成可转余额。
2. 不考虑币种，只有人民币
3. 只有2位小数",1. 输入校验,STEP,P1,july,Prepare,未定义此列头内容
,异常流>资金密码错误,/3.7.0/CTP资金内转/,,无,无,"1. 当前处于资金密码输入框中
2. 输入正确的股票资金密码与错误的期货资金密码，点击确定按钮
3. 等待10秒以内
4. 输入错误的股票资金密码与正确的期货资金密码，点击确定按钮
5. 等待10秒以内
6. 输入错误的股票资金密码与错误的期货资金密码，点击确定按钮
7. 等待10秒以内","2. 弹出loading图标，禁止用户点击。
3. 弹框不关闭，在【取消】按钮的上方展示中继返回错误信息：【期货资金密码错误】，错误信息红字加粗展示
4. 弹出loading图标，禁止用户点击。
5. 弹框不关闭，在【取消】按钮的上方展示中继返回错误信息：【股票期权资金密码错误】，错误信息红字加粗展示
6. 弹出loading图标，禁止用户点击。
7. 弹框不关闭，在【取消】按钮的上方展示中继返回两行错误信息：【股票期权资金密码错误】【期货资金密码错误】，错误信息红字加粗展示",STEP,P1,july,Prepare,未定义此列头内容
,异常流>中继返回超时,/3.7.0/CTP资金内转/,,无,无,"1. 当前已处于资金密码输入弹框中
2. 处于弱网或断网环境下，向中继发出申请
3. 等待10秒以上，都没有返回结果","2. 弹出loading图标，禁止用户点击。
3. 弹框不关闭，loading图标消失，红字显示错误信息【请求超时，请稍后重试】",STEP,P1,july,Prepare,未定义此列头内容
,点击买卖更改,/3.7.0/云套利方向/,,"1. 1. 事先已设好 A-B-C-D的云套利合约，A、C为买入，B、D为卖出
2. 当前处于云套利下单编辑界面",无,"1. 当前A合约为买方向，观察进来时默认触发方向与触发价
2. 点击切换A合约为卖
3. 点击切换B合约为卖","1. 默认  <= 云套利合约整体的卖价
2. 下方 “<= 卖价”同步修改为“>=买价”
3. 下方 “>=买价”又再次更改为了“<= 卖价”",STEP,P2,july,Prepare,未定义此列头内容
,点击方向不更改,/3.7.0/云套利方向/,,"1. 1. 事先已设好 A-B-C-D的云套利合约，A、C为买入，B、D为卖出
2. 当前处于云套利下单编辑界面",无,"1. 当前A合约为买方向，观察进来时默认触发方向与触发价
2. 点击 <= 更改为 >=，观察上方买卖的方向
3. 此时点击切换A合约为卖","1. 默认  <= 云套利合约整体的卖价
2. 买卖方向不会变化，触发价格也不改变
3. 买卖方向不会变化（因为之前已手动更改），触发价格修正成了买价",STEP,P2,july,Prepare,未定义此列头内容
,切换模式默认最新价,/3.7.0/点价下单切换最新、手动长期保存/,,无,无,"1. app首次安装
2. 进入点价下单界面
3. 观察切换模式",3. 切换模式默认最新价,STEP,P3,july,Prepare,未定义此列头内容
,切换手动长期保存,/3.7.0/点价下单切换最新、手动长期保存/,,无,无,"1. 当前处于点击下单界面
2. 点击最新价，切换为手动
3. app重启进入点价下单",3. 长期保存，依旧是手动,STEP,P3,july,Prepare,未定义此列头内容
,手动模式进出界面,/3.7.0/点价下单切换最新、手动长期保存/,,无,无,"1. 当前设置了手动模式
2. 滑动界面到一定距离
3. 退出点价下单界面，重新进入",3. 界面重新进入，不需要保留上回滑动位置，刷新为最新价在中间,STEP,P3,july,Prepare,未定义此列头内容
,指标功能更改,/3.7.0/K线副图不限制指标类型/,,1. 当前设置了量仓指标与摆动指标都至少有1个,无,"1. 当前处于K线界面
2. 查看2个副图指标
3. 尝试点击切换第一副图
4. 尝试点击切换第二幅图","3. 第一幅图不再只是量仓指标，也能切换到摆动指标
4. 第二幅图不再只是摆动指标，也能切换到量仓指标",STEP,P2,july,Prepare,未定义此列头内容
,单独副图隐藏,/3.7.0/K线副图不限制指标类型/,,1. 当前设置了量仓指标与摆动指标都至少有1个,无,"1. 当前处于K线界面
2. 查看2个副图指标
3. 进入指标设置，修改量仓指标显示为0个
4. 返回K线
5. 进入指标设置，修改量仓指标显示为至少1个，修改摆动指标显示为0个
6. 返回K线","4. 第一幅图被隐藏
6. 第二幅图被隐藏",STEP,P3,july,Prepare,未定义此列头内容
,指标统一保存,/3.7.0/K线副图不限制指标类型/,,1. 当前设置了量仓指标与摆动指标都至少有1个,无,"1. 当前处于K线界面
2. 当前拥有2副副图，分别为CJL、MACD
3. APP横屏，观察横屏后的指标
4. 切换横屏下指标变为MACD，返回竖屏
5. 同理测试多股同列、多周期同列","3. 指标为第一幅图的CJL
4. 竖屏下第一副图的CJL也被更改为了MACD，也即会显示两个MACD
5. 多股同列、多周期同列也统一保存指标切换值",STEP,P1,july,Prepare,未定义此列头内容
,取消原版右上角关闭按钮,/3.7.0/柜台消息弹窗优化/,,无,无,"1. App收到消息通知
2. 观察通知框",2. 无原版右上角的关闭按钮,STEP,P3,july,Prepare,未定义此列头内容
,下一条改为已读,/3.7.0/柜台消息弹窗优化/,,无,无,"1. App收到消息通知
2. 观察通知框",2. 下一条改为了已读,STEP,P3,july,Prepare,未定义此列头内容
,已读至最后，弹框关闭,/3.7.0/柜台消息弹窗优化/,,无,无,"1. App收到消息通知
2. 点击已读到最后一条
3. 点击进入消息通知里","2. 弹框关闭
3. 所有消息都置为已读",STEP,P3,july,Prepare,未定义此列头内容
,已读状态，长期保存,/3.7.0/柜台消息弹窗优化/,,无,无,"1. 事先已将消息信息全部已读
2. app重新启动
3. 点击进入消息通知里
4. app卸载重装","2. 不会再收到旧的通知信息
3. 所有消息都置为已读
4. 依旧能收到已读信息",STEP,P3,july,Prepare,未定义此列头内容
,上一条无消息点击无效,/3.7.0/柜台消息弹窗优化/,,无,无,"1. App收到消息通知
2. 直接点击上一条",2. 点击无效,STEP,P2,july,Prepare,未定义此列头内容
